,year,iso_o,iso_d,contig,comlang_off,distw,pop_o,gdp_o,gdpcap_o,iso2_o,pop_d,gdp_d,gdpcap_d,iso2_d,heg_d,conflict,indepdate,heg_o,col_to,col_fr,col_hist,col_cur,sever,sib_conflict,gatt_o,gatt_d,rta,comleg,comcur,acp_to_eu,gsp,eu_to_acp,gsp_rec,flow,validmirror,family
408328,1948,GHA,GBR,0,1,5141.137865108109,,,,GH,50.013999938964844,,,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,63.7,1,GBR
408329,1949,GHA,GBR,0,1,5141.137865108109,,,,GH,50.3120002746582,46494.0,924.113525390625,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,68.1,1,GBR
408330,1950,GHA,GBR,0,1,5141.137865108109,5.296999931335449,,,GH,50.12699890136719,37339.0,744.8880004882812,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,94.38000000000001,1,GBR
408331,1951,GHA,GBR,0,1,5141.137865108109,5.436999797821045,,,GH,50.290000915527344,41485.0,824.9154663085938,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,116.49000000000001,1,GBR
408332,1952,GHA,GBR,0,1,5141.137865108109,5.580999851226807,,,GH,50.43000030517578,44553.0,883.4622192382812,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,107.47000000000001,1,GBR
408333,1953,GHA,GBR,0,1,5141.137865108109,5.730999946594238,,,GH,50.59299850463867,48118.0,951.0802001953125,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,115.39000000000001,1,GBR
408334,1954,GHA,GBR,0,1,5141.137865108109,5.88700008392334,,,GH,50.76499938964844,50758.0,999.8621215820312,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,142.23000000000002,1,GBR
408335,1955,GHA,GBR,0,1,5141.137865108109,6.048999786376953,,,GH,50.94599914550781,54078.0,1061.4769287109375,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,118.69000000000001,1,GBR
408336,1956,GHA,GBR,0,1,5141.137865108109,6.2170000076293945,,,GH,51.183998107910156,58575.0,1144.400634765625,GB,1,0.0,1957.0,0,0,1,1,1,,,0,1,0,1,1,0,0,0,0,92.18,1,GBR
408337,1957,GHA,GBR,0,1,5141.137865108109,6.390999794006348,,,GH,51.43000030517578,61955.0,1204.6470947265625,GB,1,0.0,1957.0,0,0,1,1,1,,,1,1,0,1,1,0,0,0,0,105.27000000000001,1,GBR
408338,1958,GHA,GBR,0,1,5141.137865108109,6.572999954223633,,,GH,51.652000427246094,65000.0,1258.4217529296875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,116.49000000000001,1,GBR
408339,1959,GHA,GBR,0,1,5141.137865108109,6.761000156402588,,,GH,51.95600128173828,68287.0,1314.3236083984375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,107.47000000000001,1,GBR
408340,1960,GHA,GBR,0,1,5141.137865108109,7.130545139312744,1217.1527099609375,170.6956024169922,GH,52.37300109863281,72273.3359375,1379.97314453125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,111.76,1,GBR
408341,1961,GHA,GBR,0,1,5141.137865108109,7.3489580154418945,1301.7122802734375,177.1288299560547,GH,52.80699920654297,76636.34375,1451.2535400390625,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,101.86,1,GBR
408342,1962,GHA,GBR,0,1,5141.137865108109,7.571481227874756,1381.791748046875,182.49952697753906,GH,53.29199981689453,80540.96875,1511.314453125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,111.43,1,GBR
408343,1963,GHA,GBR,0,1,5141.137865108109,7.790917873382568,1540.2708740234375,197.70082092285156,GH,53.625,85379.1328125,1592.151611328125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,94.49000000000001,1,GBR
408344,1964,GHA,GBR,0,1,5141.137865108109,7.997765064239502,1730.669677734375,216.3941650390625,GH,53.99100112915039,93316.953125,1728.3797607421875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,1,0,0,0,0,81.4,1,GBR
408345,1965,GHA,GBR,0,1,5141.137865108109,8.186171531677246,2052.9189453125,250.7788848876953,GH,54.349998474121094,100519.6875,1849.48828125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,0,0,0,72.71,1,GBR
408346,1966,GHA,GBR,0,1,5141.137865108109,8.351283073425293,2125.717529296875,254.537841796875,GH,54.643001556396484,107009.71875,1958.3426513671875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,0,0,0,73.7,1,GBR
408347,1967,GHA,GBR,0,1,5141.137865108109,8.497393608093262,1734.263427734375,204.09356689453125,GH,54.95899963378906,111101.28125,2021.5302734375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,0,0,0,93.50000000000001,1,GBR
408348,1968,GHA,GBR,0,1,5141.137865108109,8.63894271850586,1666.2091064453125,192.8718719482422,GH,55.2140007019043,104623.5390625,1894.8734130859375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,0,0,0,99.11,1,GBR
408349,1969,GHA,GBR,0,1,5141.137865108109,8.796056747436523,1960.7015380859375,222.90687561035156,GH,55.46099853515625,112591.640625,2030.1048583984375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,0,0,0,114.58370000000001,1,GBR
408350,1970,GHA,GBR,0,1,5141.137865108109,8.98259162902832,2214.131591796875,246.49139404296875,GH,55.63199996948242,123626.109375,2222.212158203125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,0,0,0,117.96620000000001,1,GBR
408351,1971,GHA,GBR,0,1,5141.137865108109,9.207290649414062,2429.0849609375,263.8218994140625,GH,55.928001403808594,139810.171875,2499.82421875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,1,0,0,90.1406,1,GBR
408352,1972,GHA,GBR,0,1,5141.137865108109,9.464797973632812,2125.15087890625,224.53208923339844,GH,56.09700012207031,160629.375,2863.421875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,1,0,0,87.6139,1,GBR
408353,1973,GHA,GBR,0,1,5141.137865108109,9.738001823425293,2465.6337890625,253.1970977783203,GH,56.222999572753906,181217.546875,3223.1923828125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,1,0,0,119.6,1,GBR
408354,1974,GHA,GBR,0,1,5141.137865108109,10.002026557922363,2894.47216796875,289.3885803222656,GH,56.236000061035156,195729.3125,3480.49853515625,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,0,1,0,0,165.9,1,GBR
408355,1975,GHA,GBR,0,1,5141.137865108109,10.24057674407959,2810.1064453125,274.40899658203125,GH,56.22600173950195,234011.0625,4161.97216796875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,129.1,1,GBR
408356,1976,GHA,GBR,0,1,5141.137865108109,10.445125579833984,2765.339111328125,264.7492370605469,GH,56.215999603271484,224792.4375,3998.72705078125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,148.8,1,GBR
408357,1977,GHA,GBR,0,1,5141.137865108109,10.62580394744873,3189.54296875,300.1695556640625,GH,56.189998626708984,253835.6875,4517.453125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,221.5,1,GBR
408358,1978,GHA,GBR,0,1,5141.137865108109,10.807393074035645,3662.49560546875,338.8879699707031,GH,56.178001403808594,321769.90625,5727.68505859375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,208.0,1,GBR
408359,1979,GHA,GBR,0,1,5141.137865108109,11.024795532226562,4020.227783203125,364.65325927734375,GH,56.242000579833984,417941.5625,7431.12890625,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,191.0,1,GBR
408360,1980,GHA,GBR,0,1,5141.137865108109,11.302165031433105,4445.22802734375,393.3076477050781,GH,56.33000183105469,536125.9375,9517.591796875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,243.0,1,GBR
408361,1981,GHA,GBR,0,1,5141.137865108109,11.64904499053955,4222.44189453125,362.4710693359375,GH,56.35200119018555,508430.4375,9022.40234375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,211.46840000000003,1,GBR
408362,1982,GHA,GBR,0,1,5141.137865108109,12.055167198181152,4035.99462890625,334.79376220703125,GH,56.31800079345703,484084.5625,8595.556640625,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,137.9,1,GBR
408363,1983,GHA,GBR,0,1,5141.137865108109,12.500624656677246,4057.275146484375,324.5657958984375,GH,56.37699890136719,458949.53125,8140.72314453125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,88.5,1,GBR
408364,1984,GHA,GBR,0,1,5141.137865108109,12.95587158203125,4412.27978515625,340.5621643066406,GH,56.50600051879883,431516.34375,7636.646484375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,98.73490000000001,1,GBR
408365,1985,GHA,GBR,0,1,5141.137865108109,13.399324417114258,4504.341796875,336.161865234375,GH,56.685001373291016,455533.875,8036.23291015625,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,137.7156,1,GBR
408366,1986,GHA,GBR,0,1,5141.137865108109,13.824066162109375,5727.6025390625,414.32110595703125,GH,56.85200119018555,558951.875,9831.701171875,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,152.1,1,GBR
408367,1987,GHA,GBR,0,1,5141.137865108109,14.236100196838379,5074.83056640625,356.4761657714844,GH,57.00899887084961,685783.625,12029.392578125,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,199.8788,1,GBR
408368,1988,GHA,GBR,0,1,5141.137865108109,14.642178535461426,5195.04248046875,354.7998352050781,GH,57.15800094604492,833130.5,14575.9208984375,GB,1,0.0,1957.0,0,0,1,1,0,,,1,1,0,1,0,1,1,0,0,189.114,1,GBR
