,year,iso_o,iso_d,contig,comlang_off,distw,pop_o,gdp_o,gdpcap_o,iso2_o,pop_d,gdp_d,gdpcap_d,iso2_d,heg_d,conflict,indepdate,heg_o,col_to,col_fr,col_hist,col_cur,sever,sib_conflict,gatt_o,gatt_d,rta,comleg,comcur,acp_to_eu,gsp,eu_to_acp,gsp_rec,flow,validmirror,family
594,1988,ABW,GBR,0,0,7480.796475195312,,,,AW,57.15800094604492,833130.5,14575.9208984375,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0.236583,0,
595,1989,ABW,GBR,0,0,7480.796475195312,,,,AW,57.358001708984375,841243.4375,14666.5400390625,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1.06844,0,
596,1990,ABW,GBR,0,0,7480.796475195312,,,,AW,57.56100082397461,989524.125,17190.876953125,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0.09459010000000001,0,
597,1991,ABW,GBR,0,0,7480.796475195312,,872.0670166015625,,AW,57.74251937866211,1033509.75,17898.591796875,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,11.3094,0,
598,1992,ABW,GBR,0,0,7480.796475195312,,958.6591796875,,AW,57.902347564697266,1071537.375,18505.939453125,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,8.03063,0,
599,1993,ABW,GBR,0,0,7480.796475195312,,1083.240234375,,AW,58.040306091308594,962344.0625,16580.6171875,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0.117458,0,
600,1994,ABW,GBR,0,0,7480.796475195312,,1245.81005859375,,AW,58.15623474121094,1041385.0625,17906.6796875,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,8.46741,0,
601,1995,ABW,GBR,0,0,7480.796475195312,,1320.6702880859375,,AW,58.25,1133632.625,19461.50390625,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,5.6904,1,
602,1996,ABW,GBR,0,0,7480.796475195312,,1379.8883056640625,,AW,58.354427337646484,1191202.75,20413.236328125,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,5.9645,1,
603,1997,ABW,GBR,0,0,7480.796475195312,,1531.8436279296875,,AW,58.46957778930664,1327113.625,22697.505859375,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0.496802,1,
604,1998,ABW,GBR,0,0,7480.796475195312,,1665.363037109375,,AW,58.59550857543945,1425173.875,24322.23828125,GB,0,,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1.13047,1,
