,year,iso_o,iso_d,contig,comlang_off,distw,pop_o,gdp_o,gdpcap_o,iso2_o,pop_d,gdp_d,gdpcap_d,iso2_d,heg_d,conflict,indepdate,heg_o,col_to,col_fr,col_hist,col_cur,sever,sib_conflict,gatt_o,gatt_d,rta,comleg,comcur,acp_to_eu,gsp,eu_to_acp,gsp_rec,flow,validmirror,family
394871,1988,GBR,ABW,0,0,7480.796346276474,57.158,833130.5,14575.921,GB,,,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,14.311330000000002,0,
394872,1989,GBR,ABW,0,0,7480.796346276474,57.358,841243.44,14666.54,GB,,,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,22.947650000000003,0,
394873,1990,GBR,ABW,0,0,7480.796346276474,57.561,989524.1,17190.877,GB,,,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,22.62777,0,
394874,1991,GBR,ABW,0,0,7480.796346276474,57.74252,1033509.75,17898.592,GB,,872.067,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,36.813810000000004,0,
394875,1992,GBR,ABW,0,0,7480.796346276474,57.902348,1071537.4,18505.94,GB,,958.6592,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,45.91554,0,
394876,1993,GBR,ABW,0,0,7480.796346276474,58.040306,962344.06,16580.617,GB,,1083.2402,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,69.03424000000001,0,
394877,1994,GBR,ABW,0,0,7480.796346276474,58.156235,1041385.06,17906.68,GB,,1245.81,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,81.02809,0,
394878,1995,GBR,ABW,0,0,7480.796346276474,58.25,1133632.6,19461.504,GB,,1320.6703,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,102.0866,1,
394879,1996,GBR,ABW,0,0,7480.796346276474,58.354427,1191202.8,20413.236,GB,,1379.8883,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,88.30206000000001,1,
394880,1997,GBR,ABW,0,0,7480.796346276474,58.469578,1327113.6,22697.506,GB,,1531.8436,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,106.91945000000001,1,
394881,1998,GBR,ABW,0,0,7480.796346276474,58.59551,1425173.9,24322.238,GB,,1665.363,,AW,0,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,102.09672000000002,1,
